n_containers,startup_ms
0,127
1,129
2,128
3,129
4,127
5,129
6,131
7,125
8,130
9,140
10,130
11,126
12,128
13,129
14,134
15,130
16,127
17,133
18,132
19,146
20,128
21,133
22,134
23,149
24,133
25,129
26,124
27,127
28,132
29,130
30,125
31,129
32,132
33,135
34,126
35,128
36,134
37,122
38,150
39,137
40,161
41,139
42,137
43,132
44,121
45,141
46,137
47,131
48,130
49,138
50,130
51,132
52,132
53,138
54,129
55,137
56,123
57,125
58,133
59,131
60,143
61,126
62,127
63,132
64,134
65,125
66,128
67,138
68,142
69,129
70,133
71,132
72,127
73,137
74,136
75,129
76,128
77,133
78,129
79,128
80,144
81,131
82,147
83,135
84,132
85,125
86,133
87,134
88,140
89,127
90,142
91,128
92,143
93,130
94,134
95,138
96,148
97,156
98,132
99,134
100,131
101,133
102,135
103,131
104,136
105,141
106,126
107,141
108,131
109,132
110,145
111,130
112,136
113,128
114,130
115,133
116,137
117,135
118,137
119,137
120,142
121,128
122,137
123,132
124,135
125,128
126,144
127,151
128,144
129,138
130,134
131,147
132,139
133,138
134,142
135,138
136,135
137,133
138,141
139,140
140,137
141,138
142,135
143,135
144,131
145,144
146,130
147,135
148,139
149,136
150,139
151,136
152,143
153,133
154,134
155,139
156,133
157,136
158,137
159,132
160,134
161,140
162,142
163,154
164,137
165,138
166,134
167,146
168,136
169,146
170,136
171,150
172,131
173,133
174,134
175,140
176,141
177,142
178,135
179,137
180,140
181,133
182,130
183,145
184,143
185,138
186,136
187,134
188,134
189,142
190,138
191,145
192,139
193,143
194,135
195,142
196,136
197,142
198,139
199,144
200,141
201,142
202,134
203,139
204,139
205,148
206,139
207,144
208,135
209,135
210,141
211,141
212,143
213,137
214,131
215,137
216,135
217,138
218,135
219,142
220,152
221,134
222,140
223,134
224,141
225,132
226,143
227,149
228,143
229,142
230,144
231,138
232,154
233,148
234,148
235,135
236,158
237,154
238,149
239,142
240,154
241,138
242,140
243,144
244,144
245,140
246,151
247,148
248,140
249,142
250,145
251,139
252,145
253,143
254,146
255,141
256,138
257,144
258,147
259,141
260,154
261,136
262,136
263,136
264,137
265,141
266,153
267,151
268,141
269,140
270,143
271,148
272,139
273,145
274,144
275,155
276,139
277,146
278,153
279,141
280,149
281,144
282,142
283,140
284,140
285,144
286,144
287,145
288,154
289,139
290,144
291,141
292,143
293,150
294,144
295,146
296,139
297,149
298,147
299,142
300,149
301,156
302,152
303,153
304,146
305,148
306,143
307,143
308,147
309,153
310,146
311,145
312,143
313,145
314,141
315,148
316,149
317,143
318,144
319,148
320,144
321,154
322,144
323,148
324,142
325,142
326,145
327,148
328,144
329,159
330,142
331,150
332,146
333,146
334,151
335,155
336,147
337,144
338,156
339,140
340,149
341,142
342,146
343,153
344,143
345,150
346,149
347,147
348,155
349,164
350,155
351,148
352,147
353,154
354,145
355,148
356,158
357,140
358,143
359,156
360,150
361,152
362,149
363,145
364,146
365,147
366,140
367,149
368,186
369,154
370,154
371,142
372,148
373,140
374,148
375,155
376,146
377,143
378,144
379,144
380,145
381,148
382,151
383,145
384,153
385,144
386,160
387,148
388,155
389,149
390,154
391,144
392,149
393,149
394,146
395,155
396,159
397,149
398,152
399,158
400,149
401,149
402,155
403,155
404,148
405,149
406,150
407,150
408,162
409,155
410,150
411,156
412,150
413,151
414,151
415,151
416,145
417,153
418,156
419,149
420,143
421,151
422,156
423,148
424,153
425,150
426,145
427,156
428,160
429,155
430,151
431,151
432,154
433,146
434,158
435,160
436,152
437,153
438,147
439,150
440,156
441,151
442,151
443,145
444,153
445,149
446,151
447,171
448,152
449,153
450,154
451,154
452,146
453,154
454,155
455,152
456,153
457,154
458,152
459,160
460,159
461,151
462,162
463,147
464,152
465,152
466,164
467,155
468,149
469,147
470,176
471,152
472,155
473,160
474,148
475,152
476,165
477,156
478,158
479,155
480,153
481,153
482,149
483,158
484,153
485,160
486,173
487,157
488,159
489,151
490,160
491,155
492,151
493,156
494,152
495,154
496,150
497,166
498,181
499,159
500,158
501,155
502,155
503,159
504,161
505,156
506,149
507,153
508,152
509,154
510,158
511,153
512,151
513,160
514,151
515,168
516,159
517,180
518,155
519,150
520,159
521,155
522,159
523,162
524,157
525,153
526,176
527,169
528,155
529,161
530,158
531,150
532,163
533,150
534,156
535,151
536,167
537,158
538,152
539,161
540,157
541,155
542,163
543,157
544,151
545,173
546,157
547,150
548,159
549,170
550,166
551,156
552,163
553,160
554,165
555,160
556,163
557,155
558,163
559,157
560,158
561,166
562,156
563,160
564,158
565,157
566,163
567,164
568,158
569,155
570,162
571,158
572,165
573,172
574,162
575,163
576,161
577,154
578,162
579,169
580,169
581,164
582,165
583,186
584,165
585,165
586,169
587,159
588,175
589,168
590,163
591,158
592,166
593,160
594,164
595,161
596,160
597,168
598,160
599,158
600,159
601,158
602,165
603,166
604,160
605,165
606,169
607,163
608,157
609,172
610,158
611,162
612,181
613,155
614,164
615,169
616,162
617,174
618,173
619,159
620,158
621,168
622,169
623,165
624,167
625,161
626,163
627,164
628,164
629,166
630,165
631,161
632,161
633,165
634,164
635,165
636,168
637,165
638,167
639,164
640,168
641,165
642,161
643,159
644,175
645,167
646,166
647,166
648,166
649,163
650,160
651,176
652,184
653,161
654,169
655,162
656,166
657,178
658,171
659,164
660,166
661,167
662,166
663,165
664,168
665,166
666,162
667,169
668,164
669,172
670,166
671,166
672,167
673,167
674,171
